ID,Munsell,R_255,G_255,B_255,R_Linear,G_Linear,B_Linear
1,8Y 5/6,136,121,45,0.248149179047,0.193012170367,0.0267184852955
3,6Y 5/6,142,119,46,0.27068832049,0.186188273648,0.0279493979878
5,4Y 5/6,147,117,49,0.293874052309,0.178970347209,0.0311732551465
7,2Y 5/6,152,115,53,0.31717616186,0.171525656158,0.0363024564883
9,10YR 5/6,157,112,58,0.340050519309,0.164004068565,0.0434568856983
11,8YR 5/6,161,110,65,0.361006132039,0.156816560965,0.0529437943542
13,6YR 5/6,165,108,70,0.377067011336,0.151045501416,0.0628240215899
15,4YR 5/6,167,106,77,0.390942739886,0.14572336231,0.0746860866061
17,2YR 5/6,170,104,83,0.402493766476,0.140894067897,0.0885111815285
19,10R 5/6,171,103,89,0.410594336527,0.137117383749,0.102069296963
21,8R 5/6,172,102,97,0.412845238107,0.134638116963,0.119999745114
23,6BG 5/6,41,133,137,0.0231201466404,0.23728340289,0.250765156778
25,4BG 5/6,47,133,131,0.0242767087702,0.23728340289,0.230328202872
27,2BG 5/6,51,134,125,0.0286915128033,0.240723869976,0.203362635934
29,10G 5/6,54,134,120,0.0349868770732,0.240723869976,0.182559537136
31,8G 5/6,58,134,115,0.0449557342681,0.240723869976,0.159983416413
33,6G 5/6,63,134,110,0.0573932402927,0.236962241517,0.137117383749
35,3G 5/6,72,133,100,0.084197368097,0.233235008191,0.106612727145
37,9GY 5/6,91,131,80,0.106612727145,0.229583193234,0.0812028680718
39,5GY 5/6,112,128,60,0.163672010838,0.216248512128,0.0452763618179
41,2GY 5/6,123,125,50,0.200863774883,0.206441551608,0.0329125368487
43,10Y 5/6,130,123,46,0.226901844514,0.199222485579,0.0277601135794
45,6PB 5/6,105,116,155,0.143615555518,0.174786438837,0.329432607425
47,4PB 5/6,95,119,160,0.116773243179,0.186266185852,0.352427773289
49,2PB 5/6,85,121,162,0.0913957245999,0.193098553258,0.361509930956
51,10B 5/6,76,123,163,0.0718790089855,0.199313936906,0.366763445839
53,8B 5/6,66,125,162,0.0543669641477,0.206538411036,0.360142345037
55,6B 5/6,56,127,159,0.0398246755452,0.21333792683,0.34759972323
57,4B 5/6,47,128,157,0.0281691656086,0.216656209587,0.337215357966
59,2B 5/6,40,129,152,0.0216258410225,0.21980838531,0.316885375253
61,10BG 5/6,37,131,148,0.0185966453965,0.229193796535,0.297491410669
63,8BG 5/6,38,133,142,0.0198496473756,0.235955809024,0.273545038512
65,5R 5/6,168,103,103,0.394625298817,0.137817025828,0.137117383749
67,6RP 5/6,168,103,84,0.394625298817,0.137817025828,0.0913957245999
69,4RP 5/6,166,103,91,0.380728442277,0.137817025828,0.106612727145
71,2RP 5/6,164,103,98,0.37025063806,0.137817025828,0.122394738543
73,10P 5/6,160,103,107,0.354670087779,0.137117383749,0.148107567794
75,8P 5/6,155,104,115,0.332306236966,0.140894067897,0.171525656158
77,6P 5/6,143,109,157,0.276475253303,0.15324545934,0.337215357966
79,4P 5/6,137,110,161,0.252636283597,0.158326262453,0.357085731057
81,2P 5/6,131,112,164,0.228612716164,0.163890258079,0.372700085429
83,10PB 5/6,124,114,167,0.203935275815,0.169819280145,0.386633005895
85,8PB 5/6,115,117,168,0.174280327773,0.177908865778,0.393814467385
